Round,WinnerID,LoserID,Scores
Final,fprtm|14207,fprtm|39871,"-7,6,-4,12,8"
Semifinal #2,fprtm|14207,fprtm|51347,"7,5,7"
Semifinal #1,fprtm|39871,fprtm|32431,"6,-7,8,8"
Quarterfinal #4,fprtm|14207,fprtm|56566,"7,8,9"
Quarterfinal #3,fprtm|51347,fprtm|40021,"-9,11,5,-11,7"
Quarterfinal #2,fprtm|32431,fprtm|89840,"7,7,-8,8"
Quarterfinal #1,fprtm|39871,fprtm|45382,"8,8,-7,-12,8"
Round of 16 #8,fprtm|56566,fprtm|95909,"-5,5,8,6"
Round of 16 #7,fprtm|14207,fprtm|83000,"8,7,3"
Round of 16 #6,fprtm|40021,fprtm|99593,"7,8,5"
Round of 16 #5,fprtm|51347,fprtm|16175,"8,-9,-6,4,12"
Round of 16 #4,fprtm|32431,fprtm|28726,"1,5,-5,6"
Round of 16 #3,fprtm|89840,fprtm|17331,"8,6,1"
Round of 16 #2,fprtm|45382,fprtm|88172,"-1,8,5,-4,3"
Round of 16 #1,fprtm|39871,fprtm|51245,"5,9,9"
Round of 32 #10,fprtm|16175,fprtm|37869,"6,5,7"
Round of 32 #7,fprtm|28726,fprtm|30969,"-8,5,8,5"
Round of 32 #6,fprtm|89840,fprtm|18675,"6,-7,7,9"
Round of 32 #15,fprtm|56566,fprtm|58520,"-8,10,8,5"
Round of 32 #14,fprtm|83000,fprtm|76540,"10,5,-9,3"
Round of 32 #11,fprtm|40021,fprtm|31417,"-4,8,5,-3,9"
Round of 32 #2,fprtm|51245,fprtm|84341,"8,4,-5,1"
Group 9 (B vs. C),fprtm|65610,fprtm|30866,"-8,10,-10,4,9"
Group 8 (B vs. C),fprtm|39154,"fprtm|26683,stadium-tt|38117","4,8,2"
Group 7 (B vs. C),fprtm|36158,fprtm|48752,"-11,9,7,7"
Group 6 (B vs. C),fprtm|62743,fprtm|39831,"9,5,5"
Group 5 (B vs. C),fprtm|19099,fprtm|91678,"5,6,2"
Group 4 (B vs. C),fprtm|97900,fprtm|53025,"4,3,4"
Group 3 (B vs. C),fprtm|15817,fprtm|99065,"2,7,-7,8"
Group 2 (B vs. C),fprtm|86099,fprtm|78146,"7,9,4"
Group 8 (B vs. C),fprtm|83000,fprtm|76540,"-11,-8,4,7,5"
Group 7 (B vs. C),fprtm|17331,fprtm|88172,"4,12,-7,9"
Group 6 (B vs. C),fprtm|40021,fprtm|30969,"6,4,4"
Group 5 (B vs. C),fprtm|14207,fprtm|16175,"5,2,11"
Group 4 (B vs. C),fprtm|28726,fprtm|18675,"-7,5,6,6"
Group 3 (B vs. C),fprtm|51347,fprtm|37869,"10,7,3"
Group 2 (B vs. C),fprtm|95909,fprtm|51245,"-9,11,-5,11,13"
Group 9 (A vs. B),fprtm|13248,fprtm|30866,"11,9,10"
Group 8 (A vs. B),fprtm|39154,fprtm|97806,"-6,8,5,3"
Group 7 (A vs. B),fprtm|36158,,"6,7,3"
Group 6 (A vs. B),fprtm|39831,fprtm|66057,"8,-9,4,6"
Group 5 (A vs. B),fprtm|19099,fprtm|27146,"5,3,9"
Group 4 (A vs. B),fprtm|93136,fprtm|53025,"-9,-10,4,2,5"
Group 3 (A vs. B),fprtm|37607,fprtm|99065,"7,5,8"
Group 2 (A vs. B),fprtm|86099,fprtm|81200,"-7,5,9,10"
Group 8 (A vs. B),fprtm|45382,fprtm|83000,"11,8,4"
Group 7 (A vs. B),fprtm|17331,fprtm|31417,"7,-9,8,8"
Group 6 (A vs. B),fprtm|32431,fprtm|40021,"-9,11,9,-10,3"
Group 5 (A vs. B),fprtm|14207,fprtm|89840,"-10,8,5,6"
Group 4 (A vs. B),fprtm|99593,fprtm|18675,"6,5,-7,10"
Group 3 (A vs. B),fprtm|51347,fprtm|56566,"-9,7,10,-10,9"
Group 2 (A vs. B),fprtm|58520,fprtm|51245,"-7,6,7,7"
Group 9 (A vs. C),fprtm|13248,fprtm|65610,"9,7,8"
Group 8 (A vs. C),fprtm|97806,"fprtm|26683,stadium-tt|38117","-9,9,7,-7,5"
Group 2 (A vs. C),fprtm|81200,fprtm|78146,"8,-9,4,-7,9"
Group 8 (A vs. C),fprtm|45382,fprtm|76540,"-8,-11,12,6,8"
Group 7 (A vs. C),fprtm|88172,fprtm|31417,"10,9,10"
Group 6 (A vs. C),fprtm|32431,fprtm|30969,"8,13,9"
Group 5 (A vs. C),fprtm|89840,fprtm|16175,"4,9,10"
