Round,WinnerID,LoserID,Scores
Group 10 (B vs. C),fprtm|71953,fprtm|34914,"6,10,5"
Group 9 (B vs. C),fprtm|41850,fprtm|76768,"7,6,-10,8"
Group 8 (B vs. C),fprtm|34957,fprtm|19099,"-6,10,5,5"
Group 7 (B vs. C),fprtm|96374,fprtm|57795,"3,3,9"
Group 6 (B vs. C),fprtm|98259,fprtm|27154,"8,11,9"
Group 5 (B vs. C),fprtm|41285,fprtm|17944,"4,-2,7,6"
Group 4 (B vs. C),fprtm|35112,fprtm|86503,"4,8,-8,-6,7"
Group 3 (B vs. C),fprtm|40982,fprtm|38534,"-7,4,10,11"
Group 13 (B vs. C),fprtm|41195,fprtm|97062,"6,6,8"
Group 12 (B vs. C),fprtm|27342,fprtm|15817,"4,4,8"
Group 11 (B vs. C),fprtm|85525,fprtm|43386,"7,6,-7,-8,6"
Group 2 (B vs. C),fprtm|48890,fprtm|11934,"-9,10,9,3"
Group 1 (B vs. C),fprtm|59672,fprtm|85914,"2,2,5"
Group 10 (A vs. B),fprtm|71953,fprtm|40161,"9,-9,17,8"
Group 9 (A vs. B),fprtm|41850,fprtm|42493,"-8,4,8,10"
Group 8 (A vs. B),fprtm|34957,fprtm|25860,"6,7,-8,6"
Group 7 (A vs. B),fprtm|95180,fprtm|96374,"7,-9,7,6"
Group 6 (A vs. B),fprtm|50857,fprtm|98259,"8,8,-8,12"
Group 5 (A vs. B),fprtm|17944,fprtm|65461,"6,-7,-6,8,10"
Group 4 (A vs. B),fprtm|35112,fprtm|72296,"4,6,8"
Group 3 (A vs. B),fprtm|96474,fprtm|40982,"2,9,6"
Group 14 (A vs. B),fprtm|19287,fprtm|18834,"5,-9,6,5"
Group 13 (A vs. B),fprtm|40007,fprtm|41195,"10,-10,8,2"
Group 12 (A vs. B),fprtm|27342,fprtm|87128,"8,7,-13,-8,9"
Group 11 (A vs. B),fprtm|38864,fprtm|85525,"7,-8,4,7"
Group 2 (A vs. B),fprtm|73699,fprtm|11934,"3,-9,-7,10,6"
Group 1 (A vs. B),fprtm|57576,fprtm|59672,"8,-9,9,-9,7"
Group 10 (A vs. C),fprtm|40161,fprtm|34914,"6,10,5"
Group 9 (A vs. C),fprtm|42493,fprtm|76768,"3,5,7"
Group 8 (A vs. C),fprtm|19099,fprtm|25860,"7,-9,10,4"
Group 7 (A vs. C),fprtm|95180,fprtm|57795,"1,5,2"
Group 6 (A vs. C),fprtm|50857,fprtm|27154,"9,6,-9,8"
Group 5 (A vs. C),fprtm|65461,fprtm|41285,"-10,4,7,9"
Group 4 (A vs. C),fprtm|72296,fprtm|86503,"7,8,10"
Group 3 (A vs. C),fprtm|96474,fprtm|38534,"2,6,4"
Group 13 (A vs. C),fprtm|40007,fprtm|97062,"3,2,9"
Group 12 (A vs. C),fprtm|87128,fprtm|15817,"4,2,3"
Group 11 (A vs. C),fprtm|38864,fprtm|43386,"-7,6,-9,9,9"
Group 2 (A vs. C),fprtm|73699,fprtm|48890,"8,11,3"
Group 1 (A vs. C),fprtm|57576,fprtm|85914,"3,5,1"
Round of 64 #2,fprtm|86503,fprtm|17944,"7,7,7"
Round of 64 #6,fprtm|98259,fprtm|97062,"7,7,7"
Round of 64 #7,fprtm|40982,fprtm|15817,"7,7,7"
Round of 64 #10,fprtm|48890,fprtm|76768,"7,7,7"
Round of 64 #15,fprtm|25860,fprtm|85914,"7,7,7"
Round of 64 #18,fprtm|57795,fprtm|11934,"3,3,3"
Round of 64 #23,fprtm|59672,fprtm|34914,"7,7,7"
Round of 64 #26,fprtm|43386,fprtm|72296,"7,7,7"
Round of 64 #31,fprtm|27154,fprtm|38534,"7,7,7"
Round of 32 #1,fprtm|57576,fprtm|86503,"7,7,7"
Round of 32 #2,fprtm|18834,fprtm|85525,"7,7,7"
Round of 32 #3,fprtm|98259,fprtm|41850,"7,7,7"
Round of 32 #4,fprtm|40982,fprtm|34957,"7,7,7"
Round of 32 #5,fprtm|65461,fprtm|48890,"7,7,7"
Round of 32 #6,fprtm|96374,fprtm|27342,"7,7,7"
Round of 32 #7,fprtm|40161,fprtm|40007,"7,7,7"
Round of 32 #8,fprtm|35112,fprtm|25860,"7,7,7"
Round of 32 #9,fprtm|96474,fprtm|57795,"7,7,7"
Round of 32 #10,fprtm|19287,fprtm|42493,"7,7,7"
Round of 32 #11,fprtm|19099,fprtm|38864,"7,7,7"
Round of 32 #12,fprtm|50857,fprtm|59672,"7,7,7"
Round of 32 #13,fprtm|95180,fprtm|43386,"7,7,7"
Round of 32 #14,fprtm|71953,fprtm|41285,"7,7,7"
Round of 32 #15,fprtm|41195,fprtm|87128,"7,7,7"
Round of 32 #16,fprtm|73699,fprtm|27154,"7,7,7"
Round of 16 #1,fprtm|18834,fprtm|57576,"7,7,7"
Round of 16 #2,fprtm|40982,fprtm|98259,"7,7,7"
Round of 16 #3,fprtm|65461,fprtm|96374,"7,7,7"
Round of 16 #4,fprtm|35112,fprtm|40161,"7,7,7"
Round of 16 #5,fprtm|19287,fprtm|96474,"7,7,7"
Round of 16 #6,fprtm|50857,fprtm|19099,"7,7,7"
Round of 16 #7,fprtm|95180,fprtm|71953,"7,7,7"
Round of 16 #8,fprtm|73699,fprtm|41195,"7,7,7"
